# RxnClock fit export
# raw data
time (min),S1 = Starting Material,S2 = Product 1,S3 = 5-bromo-2-methylpyridine adduct,S4 = Mass Balance (%)
0,0.1,0,0,99.8
2,0.092,0.006,0.003,100.4
4,0.083,0.011,0.005,98.9
6,0.075,0.016,0.008,98.6
8,0.069,0.02,0.01,99.2
10,0.063,0.024,0.012,99.4
15,0.051,0.034,0.016,101.7
20,0.04,0.039,0.019,99.3
25,0.033,0.046,0.023,101.8
30,0.025,0.05,0.025,99.4
40,0.016,0.056,0.029,101.4
50,0.01,0.06,0.03,100.9
60,0.007,0.061,0.031,99.3
75,0.003,0.063,0.032,98.3

# fitted curves
time (min),Starting Material,Product 1,5-bromo-2-methylpyridine adduct
0,0.1,0,0
0.4921875,0.09778012798790625,0.0014757337908740803,0.000744138221219699
0.984375,0.09560953429331326,0.002918708180351537,0.0014717575263352492
1.4765625,0.09348712500064278,0.004329650385215302,0.0021832246141419483
1.96875,0.09141183047784238,0.005709271478966479,0.0028788980431911676
2.4609375,0.08938260483732213,0.00705826675018453,0.003559128412493351
2.953125,0.08739842540885805,0.008377316052932344,0.004224258538209633
3.4453125,0.08545829222419614,0.00966708414938274,0.0048746236264211335
3.9375,0.08356122751309789,0.010928221044839117,0.005510551442062999
4.4296875,0.08170627521057262,0.012161362315319071,0.006132362474108311
4.921875,0.07989250047504881,0.013367129427866062,0.006740370097085137
5.4140625,0.07811898921724131,0.014546130053750592,0.007334880729008103
5.90625,0.0763848476394772,0.0156989583747187,0.00791619398580409
6.3984375,0.07468920178524797,0.016826195382442143,0.008484602832309873
6.890625,0.07303119709876099,0.017928409171321175,0.009040393729917807
7.3828125,0.07140999799426855,0.019006155224787442,0.00958384678094398
7.875,0.06982478743495706,0.02005997669525137,0.010115235869791553
8.3671875,0.06827476652118449,0.021090404677835028,0.010634828800980477
8.859375,0.06675915408785835,0.022097958478028534,0.011142887434113123
9.3515625,0.06527718631075143,0.023083145873404758,0.011639667815843828
9.84375,0.06382811632155674,0.024046463369524342,0.012125420308918923
10.3359375,0.06241121383148783,0.024988396450159968,0.012600389718352197
10.828125,0.06102576476323463,0.02590941982196591,0.01306481541479945
11.3203125,0.059671070891089396,0.0268099976537163,0.013518931455194302
11.8125,0.05834644948906146,0.027690583810232535,0.013962966700706002
12.3046875,0.05705123298680335,0.028551622081117896,0.014397144932078753
12.796875,0.055784768633174886,0.029393546404414453,0.014821684962410656
13.2890625,0.05454641816727576,0.030216781085295137,0.015236800747429089
